,,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
SOVGDE,Real labour productivity per person employed,EUR2015,52720.23,53048.03,53015.9,53330.18,54969.19,55953.68,57088.48,58707.51,60448.67,62020.72,62312.59,62096.32,62983.45,64160.18,66576.74,68766.12,69267.17,70373.76,70920.13,71331.44,72674.16,72704.04,71696.04,70704.89,71314.09,71454.69,71333.09,71491.78,70603.78,67978.35,69460.62,69755.39,67758.33,67739.53,67687.14,67844.03,67763.69,68057.24,67989.65,67926.43,63261.36,68306.65,70174.25,69455.56,68997.71,69155.4,69818.55
SNETD,"Total Employment (workplace based, employed persons)",Thousands Persons,21493,21479.1,21525.6,21596.7,21584,21760,21905.4,21954.6,22181.3,22322.2,22658.1,23064.2,22903.7,22295.9,21932.3,21910.4,22044.6,22115.8,22341.4,22585.3,23028.6,23481,23875.4,24226.2,24373.3,24510.8,24994.4,25303.6,25359.7,24941.8,24782.8,24849.7,24782.6,24338.8,24357.3,24516.2,24848.7,25138.3,25371.3,25503.9,24956.1,25177,25649.4,26095.6,26444.4,26657.9,26723.4
SNPTD,Average annual population,Persons,56472720,56540513,56543548,56564074,56576718,56593071,56596155,56601931,56629288,56671781,56719239,56758521,56797087,56831821,56843400,56844300,56860300,56890400,56906700,56916300,56941046,56978648,57089800,57399200,57828200,58166700,58399900,58756200,59211200,59555500,59819400,60026800,60191200,60311600,60320700,60229600,60115200,60002300,59877200,59729100,59438900,59133200,59013700,58993500,58946202,58819228,58735817
SUVGD,"	GDP at current market prices",Million EUR,341455.1,385319.7,434131.5,496161.4,554662.7,594280.7,651995.6,698424.8,755577.2,845021.6,927690.5,1006247.3,1018154.7,909451.5,925053.2,898299.3,1033759.7,1096302,1134534.9,1175149.5,1241512.9,1304136.8,1350258.9,1394693.2,1452319,1493635.3,1552686.8,1614839.8,1637699.4,1577255.9,1611279.4,1648755.8,1624358.7,1612751.3,1628537.7,1655355,1695786.8,1736592.8,1771391.2,1796648.5,1661239.8,1822344.5,1946479.1,2085375.6,2176571,2240943,2308816
"RUWCD	",Compensation of employees at current prices,Million EUR,156060.1,178664.1,198557,223689,243842.6,259791.2,278040.4,294930.4,314677.8,350880.5,389667.2,423827.9,426784.1,377071,370782.5,346396.8,402214.6,428016.7,423292.3,440169.7,457941.6,482846.8,505288.9,526413.1,545614.2,569230.3,594846.9,617345.4,639277.1,634820.2,642624.8,651479.3,642570.8,636555.7,638360.3,651585,667222.3,684053.4,706978.3,721523.2,679501.5,736160.3,788097.5,822993.4,870996,904964.9,932113.8
RUYNH,Current taxes on income and wealth,Million EUR,61278.7,71302.5,88362,104323.6,119351.5,125316,133554.5,139555.8,150564.5,172374.3,180704.9,199522.7,203952.7,182892.2,176201.2,17873.3,19646.8,18921.1,16244.4,9988.7,14842.4,16812.1,14048.7,11607.4,14459.1,16224.3,23818.5,27885.9,30646.4,17207.1,14581.4,20443.7,19481.2,12205.1,11546,6833,8270.8,5712.3,4661.4,5017.2,4780.4,4512,6145.4,195680.1,196667.9,197312.7,204863.2
RUIGT,Gross Fixed Capital Formation at current prices,Million EUR,88494.3,100625.5,107278.3,116710.2,128981.8,135746.3,144631,154609,170158.7,189571.5,208535.3,221951.4,218518,176438,175513.9,174023.9,198452.7,210113.7,221088.4,233629.7,257375.6,270231.1,288461.2,291146.6,304466,317870.4,335075.6,349783.3,348467.7,317194.3,322646.1,325033.6,297404.9,277467.1,272137.4,280342.1,291183.5,303569.9,316124.9,323203.4,298506.8,373419.8,427106,478960.6,486911.8,493432.3,511504
ROKND,Capital Stock at constant prices,Million EUR2015,3230559,3342040,3438693,3527297,3617799,3704361,3792654,3885581,3989617,4096813,4208502,4316686,4413585,4474160,4530203,4597242,4665276,4734542,4809529,4892074,4989580,5087945,5191606,5285533,5379431,5474078,5572852,5672016,5753213,5791465,5825558,5851014,5841419,5811459,5775271,5744419,5723302,5709482,5703000,5699110,5670849,5703255,5758305,5841376,5928054,6010491,6096770
RPDNN,Early leavers from education and training,Percent,,,,,,,,,,,,,,,,,,,,,21.9,20.8,19.8,19.5,19.6,20,19.2,18.8,19.3,20.5,22,22.5,23.8,26,26.2,25.7,24.3,24.1,23.2,22.1,23.5,,,,,,
